 613    ;1.29E-01
 614    ;1.38E-01
 615    ;1.48E-01
 616    ;1.56E-01
 617    ;1.63E-01
 618    ;1.70E-01
 619    ;1.76E-01
 620    ;1.78E-01
 621    ;1.78E-01
 622    ;1.76E-01
 623    ;1.72E-01
 624    ;1.65E-01
 625    ;1.56E-01
 626    ;1.45E-01
 627    ;1.34E-01
 628    ;1.22E-01
 629    ;1.09E-01
 630    ;9.65E-02
 631    ;8.50E-02
 632    ;7.41E-02
 633    ;6.42E-02
 634    ;5.47E-02
 635    ;4.65E-02
 636    ;4.07E-02
 637    ;3.47E-02
 638    ;2.94E-02
 639    ;2.55E-02
 640    ;2.18E-02
 641    ;1.86E-02
 642    ;1.57E-02
 643    ;1.36E-02
 644    ;1.16E-02
 645    ;1.02E-02
 646    ;8.86E-03
 647    ;7.78E-03
 648    ;6.62E-03
 649    ;5.82E-03
 650    ;5.15E-03
 651    ;4.60E-03
 652    ;4.02E-03
 653    ;3.61E-03
 654    ;3.24E-03
 655    ;2.88E-03
 656    ;2.40E-03
 657    ;2.23E-03
 658    ;2.11E-03
 659    ;1.91E-03
 660    ;1.76E-03
 661    ;1.57E-03
 662    ;1.49E-03
 663    ;1.43E-03
 664    ;1.30E-03
 665    ;1.18E-03
 666    ;1.13E-03
 667    ;1.21E-03
 668    ;1.01E-03
 669    ;9.66E-04
 670    ;9.91E-04
 671    ;9.69E-04
 672    ;8.40E-04
 673    ;7.97E-04
 674    ;8.28E-04
 675    ;5.44E-04
 676    ;9.27E-04
 677    ;8.01E-04
 678    ;7.15E-04
 679    ;6.69E-04
 680    ;7.10E-04
 681    ;6.80E-04
 682    ;7.02E-04
 683    ;5.85E-04
 684    ;6.19E-04
 685    ;8.08E-04
 686    ;6.87E-04
 687    ;5.55E-04
 688    ;6.60E-04
 689    ;8.06E-04
 690    ;7.91E-04
 691    ;6.46E-04
 692    ;8.05E-04
 693    ;6.77E-04
 694    ;5.95E-04
 695    ;7.08E-04
 696    ;6.81E-04
 697    ;5.74E-04
 698    ;6.43E-04
 699    ;5.96E-04
 700    ;6.63E-04
 701    ;6.41E-04
 702    ;7.00E-04
 703    ;6.07E-04
 704    ;6.70E-04
 705    ;6.44E-04
 706    ;6.28E-04
 707    ;6.93E-04
 708    ;6.39E-04
 709    ;4.42E-04
 710    ;3.99E-04
 711    ;7.54E-04
 712    ;8.80E-04
 713    ;5.43E-04
 714    ;7.02E-04
 715    ;4.82E-04
 716    ;6.63E-04
 717    ;6.30E-04
 718    ;7.04E-04
 719    ;4.93E-04
 720    ;4.60E-04
 721    ;4.13E-04
 722    ;4.99E-04
 723    ;5.09E-04
 724    ;4.46E-04
 725    ;4.44E-04
 726    ;5.72E-04
 727    ;4.02E-04
 728    ;5.02E-04
 729    ;4.90E-04
 730    ;7.21E-04
 731    ;7.16E-04
 732    ;5.53E-04
 733    ;4.79E-04
 734    ;6.23E-04
 735    ;6.58E-04
 736    ;7.31E-04
 737    ;7.54E-04
 738    ;3.09E-04
 739    ;5.47E-04
 740    ;5.56E-04
 741    ;6.42E-04
 742    ;7.99E-04
 743    ;5.52E-04
 744    ;1.48E-04
 745    ;3.15E-04
 746    ;3.49E-04
 747    ;3.49E-04
 748    ;5.49E-04
 749    ;7.14E-04
 750    ;4.89E-04
 751    ;5.10E-04
 752    ;6.02E-04
 753    ;5.06E-04
 754    ;7.92E-04
 755    ;9.29E-04
 756    ;7.34E-04
 757    ;5.72E-04
 758    ;9.46E-04
 759    ;8.67E-04
 760    ;9.64E-04
 761    ;7.37E-04
 762    ;8.14E-04
 763    ;7.22E-04
 764    ;1.10E-03
 765    ;1.10E-03
 766    ;8.89E-04
 767    ;6.97E-04
 768    ;1.18E-03
 769    ;1.23E-03
 770    ;9.49E-04
 771    ;1.13E-03
 772    ;6.52E-04
 773    ;9.34E-04
 774    ;9.21E-04
 775    ;6.19E-04
 776    ;1.11E-03
 777    ;1.13E-03
 778    ;1.08E-03
 779    ;1.06E-03
 780    ;1.28E-03
