File: Users\Mutlugun\Desktop\Emre\220517\x.IRR;
RAD->Wave:648.50nm  Pix:1050  Val:  0.000  Time:25ms  Avg:1  Sm:1  Sg:0  Tc:off  SNAP  Xt:3  Ch:1  Wr:400-700 Xtrig wnmcal;
399.5;3.90E-06
400;4.22E-06
400.5;4.80E-06
401;5.83E-06
401.5;6.30E-06
402;6.24E-06
402.5;6.17E-06
403;6.68E-06
403.5;7.81E-06
404;8.76E-06
404.5;1.02E-05
405;1.14E-05
405.5;1.26E-05
406;1.47E-05
406.5;1.53E-05
407;1.59E-05
407.5;1.78E-05
408;1.90E-05
408.5;2.00E-05
409;2.16E-05
409.5;2.34E-05
410;2.71E-05
410.5;3.39E-05
411;3.93E-05
411.5;4.42E-05
412;4.85E-05
412.5;5.32E-05
413;5.88E-05
413.5;6.59E-05
414;7.51E-05
414.5;8.55E-05
415;9.89E-05
415.5;1.13E-04
416;1.29E-04
416.5;1.47E-04
417;1.68E-04
417.5;1.95E-04
418;2.20E-04
418.5;2.39E-04
419;2.54E-04
419.5;2.69E-04
420;2.96E-04
420.5;3.41E-04
421;3.89E-04
421.5;4.39E-04
422;4.86E-04
422.5;5.36E-04
423;5.91E-04
423.5;6.48E-04
424;7.06E-04
424.5;7.64E-04
425;8.25E-04
425.5;9.20E-04
426;1.02E-03
426.5;1.13E-03
427;1.24E-03
427.5;1.36E-03
428;1.48E-03
428.5;1.60E-03
429;1.70E-03
429.5;1.81E-03
430;1.95E-03
430.5;2.15E-03
431;2.37E-03
431.5;2.58E-03
432;2.79E-03
432.5;3.01E-03
433;3.24E-03
433.5;3.46E-03
434;3.68E-03
434.5;3.91E-03
435;4.15E-03
435.5;4.47E-03
436;4.79E-03
436.5;5.07E-03
437;5.34E-03
437.5;5.60E-03
438;5.86E-03
438.5;6.10E-03
439;6.28E-03
439.5;6.44E-03
440;6.57E-03
440.5;6.80E-03
441;7.00E-03
441.5;7.09E-03
442;7.11E-03
442.5;7.08E-03
443;6.98E-03
443.5;6.84E-03
444;6.65E-03
444.5;6.42E-03
445;6.16E-03
445.5;5.91E-03
446;5.63E-03
446.5;5.35E-03
447;5.08E-03
447.5;4.83E-03
448;4.58E-03
448.5;4.35E-03
449;4.13E-03
449.5;3.95E-03
450;3.80E-03
450.5;3.52E-03
451;3.28E-03
451.5;3.07E-03
452;2.89E-03
452.5;2.74E-03
453;2.61E-03
453.5;2.51E-03
454;2.42E-03
454.5;2.35E-03
455;2.29E-03
455.5;2.20E-03
456;2.11E-03
456.5;2.03E-03
457;1.94E-03
457.5;1.85E-03
458;1.75E-03
458.5;1.65E-03
459;1.55E-03
459.5;1.45E-03
460;1.36E-03
460.5;1.31E-03
461;1.26E-03
461.5;1.21E-03
462;1.16E-03
462.5;1.11E-03
463;1.05E-03
463.5;9.95E-04
464;9.37E-04
464.5;8.80E-04
465;8.36E-04
465.5;7.93E-04
466;7.53E-04
466.5;7.18E-04
467;6.81E-04
467.5;6.45E-04
468;6.14E-04
468.5;5.82E-04
469;5.54E-04
469.5;5.32E-04
470;5.10E-04
470.5;4.90E-04
471;4.69E-04
471.5;4.50E-04
472;4.34E-04
472.5;4.19E-04
473;4.03E-04
473.5;3.89E-04
474;3.73E-04
474.5;3.53E-04
475;3.36E-04
475.5;3.23E-04
476;3.11E-04
476.5;3.01E-04
477;2.92E-04
477.5;2.81E-04
478;2.71E-04
478.5;2.60E-04
479;2.48E-04
479.5;2.36E-04
480;2.25E-04
480.5;2.15E-04
481;2.08E-04
481.5;1.99E-04
482;1.91E-04
482.5;1.85E-04
483;1.80E-04
483.5;1.75E-04
484;1.69E-04
484.5;1.63E-04
485;1.55E-04
485.5;1.48E-04
486;1.45E-04
486.5;1.42E-04
487;1.40E-04
487.5;1.38E-04
488;1.36E-04
488.5;1.33E-04
489;1.29E-04
489.5;1.26E-04
490;1.22E-04
490.5;1.19E-04
491;1.19E-04
491.5;1.17E-04
492;1.15E-04
492.5;1.15E-04
493;1.12E-04
493.5;1.11E-04
494;1.13E-04
494.5;1.15E-04
495;1.20E-04
495.5;1.26E-04
496;1.31E-04
496.5;1.36E-04
497;1.39E-04
497.5;1.42E-04
498;1.47E-04
498.5;1.54E-04
499;1.62E-04
499.5;1.73E-04
500;1.84E-04
500.5;1.95E-04
501;2.08E-04
501.5;2.24E-04
502;2.42E-04
502.5;2.63E-04
503;2.83E-04
503.5;3.03E-04
504;3.26E-04
504.5;3.50E-04
505;3.80E-04
505.5;4.13E-04
506;4.48E-04
506.5;4.86E-04
507;5.25E-04
507.5;5.66E-04
508;6.10E-04
508.5;6.59E-04
509;7.10E-04
509.5;7.62E-04
510;8.16E-04
510.5;8.72E-04
511;9.33E-04
511.5;9.98E-04
512;1.07E-03
512.5;1.14E-03
513;1.20E-03
513.5;1.28E-03
514;1.36E-03
514.5;1.44E-03
515;1.52E-03
515.5;1.59E-03
516;1.67E-03
516.5;1.75E-03
517;1.83E-03
517.5;1.91E-03
518;1.99E-03
518.5;2.07E-03
519;2.15E-03
519.5;2.22E-03
520;2.28E-03
520.5;2.35E-03
521;2.41E-03
521.5;2.47E-03
522;2.52E-03
522.5;2.57E-03
523;2.60E-03
523.5;2.63E-03
524;2.65E-03
524.5;2.66E-03
525;2.67E-03
525.5;2.68E-03
526;2.67E-03
526.5;2.66E-03
527;2.64E-03
527.5;2.62E-03
528;2.58E-03
528.5;2.54E-03
529;2.50E-03
529.5;2.45E-03
530;2.39E-03
530.5;2.33E-03
531;2.27E-03
531.5;2.19E-03
532;2.12E-03
532.5;2.06E-03
533;1.99E-03
533.5;1.91E-03
534;1.84E-03
534.5;1.76E-03
535;1.69E-03
535.5;1.63E-03
536;1.56E-03
536.5;1.49E-03
537;1.42E-03
537.5;1.36E-03
538;1.29E-03
538.5;1.23E-03
539;1.17E-03
539.5;1.11E-03
540;1.06E-03
540.5;1.00E-03
541;9.50E-04
541.5;8.99E-04
542;8.54E-04
542.5;8.07E-04
543;7.63E-04
543.5;7.21E-04
544;6.79E-04
544.5;6.40E-04
545;6.08E-04
545.5;5.78E-04
546;5.49E-04
546.5;5.22E-04
547;4.93E-04
547.5;4.66E-04
548;4.41E-04
548.5;4.20E-04
549;4.00E-04
549.5;3.80E-04
550;3.61E-04
550.5;3.39E-04
551;3.22E-04
551.5;3.05E-04
